model,feature,importance,absolute_importance
decision_tree,cat__term_ 36 months,0.5995961053385406,0.5995961053385406
decision_tree,num__acc_open_past_24mths,0.10739339922700537,0.10739339922700537
decision_tree,num__bc_open_to_buy,0.0725209358904756,0.0725209358904756
decision_tree,num__log_annual_inc,0.057053442450445725,0.057053442450445725
decision_tree,num__tot_hi_cred_lim,0.04745388925189814,0.04745388925189814
decision_tree,num__avg_cur_bal,0.03877665095169909,0.03877665095169909
decision_tree,num__dti,0.03795829859847082,0.03795829859847082
decision_tree,num__inq_last_6mths,0.018422647406447574,0.018422647406447574
decision_tree,num__revol_util,0.008663058785474586,0.008663058785474586
decision_tree,num__total_bc_limit,0.006293653652341077,0.006293653652341077
decision_tree,num__loan_to_income,0.005867918447201418,0.005867918447201418
decision_tree,num__loan_amnt,0.0,0.0
decision_tree,num__annual_inc,0.0,0.0
decision_tree,num__delinq_2yrs,0.0,0.0
decision_tree,num__mths_since_last_delinq,0.0,0.0
decision_tree,num__mths_since_last_record,0.0,0.0
decision_tree,num__open_acc,0.0,0.0
decision_tree,num__pub_rec,0.0,0.0
decision_tree,num__revol_bal,0.0,0.0
decision_tree,num__total_acc,0.0,0.0
decision_tree,num__collections_12_mths_ex_med,0.0,0.0
decision_tree,num__mths_since_last_major_derog,0.0,0.0
decision_tree,num__acc_now_delinq,0.0,0.0
decision_tree,num__tot_coll_amt,0.0,0.0
decision_tree,num__tot_cur_bal,0.0,0.0
decision_tree,num__total_rev_hi_lim,0.0,0.0
decision_tree,num__bc_util,0.0,0.0
decision_tree,num__chargeoff_within_12_mths,0.0,0.0
decision_tree,num__delinq_amnt,0.0,0.0
decision_tree,num__mo_sin_old_rev_tl_op,0.0,0.0
decision_tree,num__mo_sin_rcnt_rev_tl_op,0.0,0.0
decision_tree,num__mort_acc,0.0,0.0
decision_tree,num__num_accts_ever_120_pd,0.0,0.0
decision_tree,num__num_tl_90g_dpd_24m,0.0,0.0
decision_tree,num__pct_tl_nvr_dlq,0.0,0.0
decision_tree,num__percent_bc_gt_75,0.0,0.0
